gvkey	year	sics13	sid
1004	1996	508	7
1004	1997	508	7
1004	1998	508	7
1004	1999	508	7
1004	2000	508	7
1004	2001	508	8
1004	2001	508	9
1004	2001	355	10
1004	2002	355	10
1004	2002	508	12
1004	2002	458	13
1004	2002	508	14
1004	2003	355	10
1004	2003	508	12
1004	2003	458	13
1004	2003	508	14
1004	2004	355	10
1004	2004	508	12
1004	2004	458	13
1004	2004	508	14
1004	2005	508	15
1004	2005	355	16
1004	2005	508	17
1004	2005	458	18
1004	2006	508	15
1004	2006	355	16
1004	2006	508	17
1004	2006	458	18
1004	2007	508	15
1004	2007	355	16
1004	2007	508	17
1004	2007	458	18
1004	2008	508	15
1004	2008	355	16
1004	2008	508	17
1004	2008	458	18
1004	2009	508	15
1004	2009	355	16
1004	2009	508	17
1004	2009	458	18
1004	2010	508	15
1004	2010	355	16
1004	2010	458	18
1004	2010	451	19
1004	2011	508	15
1004	2011	355	16
1004	2011	458	18
1004	2011	451	19
1004	2012	508	15
1004	2012	355	16
1004	2012	458	18
1004	2012	451	19
1004	2013	508	20
1004	2013	355	21
1013	1996	366	1
1013	1997	366	1
1013	1998	366	1
1013	1999	366	2
1013	1999	366	3
1013	1999	737	4
1013	2000	366	2
1013	2000	366	3
1013	2000	737	4
1013	2001	737	4
1013	2001	366	6
1013	2002	737	4
1013	2002	366	6
1013	2003	737	4
1013	2003	366	6
1013	2004	737	4
1013	2005	737	4
1013	2005	366	6
1013	2006	737	4
1013	2007	737	4
1013	2008	737	4
1013	2008	366	9
1013	2008	366	10
1013	2009	737	4
1013	2009	366	9
1013	2009	366	10
1013	2010	737	4
1013	2010	366	10
1021	1996	386	0
1021	1997	386	1
1021	1998	386	0
1034	1996	283	1
1034	1996	283	2
1034	1997	283	1
1034	1997	283	2
1034	1998	283	4
1034	1998	283	6
1034	1998	283	7
1034	1998	283	8
1034	1999	283	4
1034	1999	283	5
1034	1999	283	6
1034	1999	283	7
1034	1999	283	8
1034	2000	283	4
1034	2000	283	6
1034	2000	283	7
1034	2000	283	8
1034	2001	283	4
1034	2001	283	5
1034	2001	283	6
1034	2002	283	4
1034	2002	283	6
1034	2003	283	4
1034	2003	283	6
1034	2003	283	10
1034	2004	283	5
1034	2004	283	6
1034	2004	283	10
1034	2004	283	11
1034	2004	283	12
1034	2005	283	6
1034	2005	283	10
1034	2005	283	12
1034	2006	283	6
1034	2006	283	10
1034	2006	283	12
1034	2007	283	6
1034	2007	283	10
1034	2007	283	12
1036	1996	344	17
1036	1996	358	19
1036	1996	358	20
1036	1997	356	21
1036	1997	353	22
1036	1997	344	23
1036	1997	356	24
1036	1998	344	21
1036	1998	353	22
1036	1998	344	23
1036	1998	382	24
1036	1999	344	21
1036	1999	353	22
1036	1999	344	23
1036	1999	382	24
1036	2000	344	21
1036	2000	353	22
1036	2000	344	23
1036	2000	382	24
1036	2000	344	25
1038	1996	783	1
1038	1997	783	1
1038	1998	783	1
1038	1999	783	2
1038	1999	783	3
1038	1999	731	4
1038	2000	783	3
1038	2001	783	3
1038	2002	783	3
1038	2003	783	2
1038	2003	783	3
1038	2004	783	3
1043	1996	504	11
1043	1997	504	11
1043	1998	504	11
1043	1999	504	12
1043	1999	504	13
1045	1996	451	1
1045	1996	472	2
1045	1997	451	1
1045	1997	472	2
1045	1997	458	3
1045	1998	451	1
1045	1999	451	1
1045	2000	451	1
1045	2001	451	1
1045	2002	451	1
1045	2003	451	1
1045	2004	451	1
1045	2005	451	1
1045	2006	451	1
1045	2007	451	1
1045	2008	451	1
1045	2009	451	1
1045	2010	451	1
1045	2011	451	1
1050	1996	356	4
1050	1997	356	4
1050	1998	356	5
1050	1998	356	6
