cik	year	cat
1000015	2001	15
1000015	2001	23
1000015	2001	25
1000015	2001	27
1000015	2001	32
1000015	2001	34
1000015	2001	35
1000015	2001	36
1000015	2001	39
1000015	2001	42
1000015	2001	48
1000015	2001	50
1000015	2001	51
1000015	2001	308
1000015	2001	54
1000015	2001	55
1000015	2001	57
1000015	2001	394
1000015	2001	62
1000015	2001	64
1000015	2001	481
1000015	2001	73
1000015	2001	80
1000015	2001	594
1000015	2001	87
1000015	2001	355
1000015	2001	356
1000015	2001	357
1000015	2001	873
1000015	2001	874
1000015	2001	621
1000015	2001	366
1000015	2001	61
1000015	2001	631
1000015	2001	633
1000015	2001	63
1000015	2001	382
1000015	2001	641
1000015	2001	153
1000015	2001	367
1000015	2001	421
1000015	2001	284
1000015	2001	736
1000015	2001	737
1000015	2001	738
1000015	2001	483
1000015	2001	495
1000015	2001	504
1000015	2001	506
1000045	2001	15
1000045	2001	23
1000045	2001	25
1000045	2001	541
1000045	2001	799
1000045	2001	37
1000045	2001	39
1000045	2001	42
1000045	2001	45
1000045	2001	48
1000045	2001	50
1000045	2001	51
1000045	2001	53
1000045	2001	54
1000045	2001	55
1000045	2001	57
1000045	2001	59
1000045	2001	60
1000045	2001	394
1000045	2001	62
1000045	2001	64
1000045	2001	581
1000045	2001	481
1000045	2001	80
1000045	2001	594
1000045	2001	87
1000045	2001	602
1000045	2001	603
1000045	2001	873
1000045	2001	874
1000045	2001	621
1000045	2001	61
1000045	2001	371
1000045	2001	631
1000045	2001	633
1000045	2001	63
1000045	2001	641
1000045	2001	138
1000045	2001	153
1000045	2001	421
1000045	2001	679
1000045	2001	284
1000045	2001	451
1000045	2001	736
1000045	2001	495
1000045	2001	504
1000045	2001	506
1000048	2001	10
1000048	2001	15
1000048	2001	20
1000048	2001	533
1000048	2001	23
1000048	2001	27
1000048	2001	28
1000048	2001	541
1000048	2001	799
1000048	2001	32
1000048	2001	33
1000048	2001	34
1000048	2001	35
1000048	2001	36
1000048	2001	37
1000048	2001	38
1000048	2001	39
1000048	2001	42
1000048	2001	44
1000048	2001	51
1000048	2001	308
1000048	2001	53
1000048	2001	55
1000048	2001	59
1000048	2001	62
1000048	2001	565
1000048	2001	64
1000048	2001	481
1000048	2001	73
1000048	2001	331
1000048	2001	79
1000048	2001	80
1000048	2001	594
1000048	2001	87
1000048	2001	355
1000048	2001	357
1000048	2001	364
1000048	2001	621
1000048	2001	366
1000048	2001	371
1000048	2001	382
1000048	2001	641
1000048	2001	131
1000048	2001	153
1000048	2001	367
1000048	2001	283
1000048	2001	421
1000048	2001	679
1000048	2001	737
1000048	2001	483
1000048	2001	495
1000048	2001	506
1000050	2001	10
1000050	2001	13
1000050	2001	15
1000050	2001	23
1000050	2001	799
1000050	2001	32
1000050	2001	42
1000050	2001	44
1000050	2001	48
1000050	2001	53
1000050	2001	54
1000050	2001	55
1000050	2001	59
1000050	2001	60
1000050	2001	62
1000050	2001	64
1000050	2001	67
1000050	2001	581
1000050	2001	481
1000050	2001	80
1000050	2001	594
1000050	2001	602
1000050	2001	603
1000050	2001	621
1000050	2001	61
1000050	2001	631
1000050	2001	633
1000050	2001	63
1000050	2001	641
1000050	2001	131
1000050	2001	138
1000050	2001	153
1000050	2001	421
1000050	2001	679
1000050	2001	284
1000050	2001	451
1000050	2001	736
1000050	2001	483
1000050	2001	495
1000050	2001	504
1000050	2001	506
1000079	2001	10
1000079	2001	15
1000079	2001	533
1000079	2001	23
1000079	2001	27
1000079	2001	28
1000079	2001	541
1000079	2001	799
1000079	2001	32
1000079	2001	33
1000079	2001	34
1000079	2001	35
1000079	2001	36
1000079	2001	37
1000079	2001	38
1000079	2001	39
1000079	2001	42
1000079	2001	44
1000079	2001	48
1000079	2001	51
1000079	2001	308
1000079	2001	53
1000079	2001	55
1000079	2001	56
1000079	2001	57
1000079	2001	59
1000079	2001	62
1000079	2001	565
1000079	2001	64
1000079	2001	481
1000079	2001	73
1000079	2001	331
1000079	2001	79
1000079	2001	80
1000079	2001	594
1000079	2001	87
1000079	2001	355
1000079	2001	357
1000079	2001	364
1000079	2001	621
1000079	2001	366
1000079	2001	61
1000079	2001	371
1000079	2001	382
1000079	2001	641
1000079	2001	131
1000079	2001	153
1000079	2001	367
1000079	2001	283
1000079	2001	421
1000079	2001	679
1000079	2001	737
1000079	2001	483
1000079	2001	495
1000079	2001	504
1000079	2001	506
1000166	2001	23
1000166	2001	25
1000166	2001	26
1000166	2001	30
1000166	2001	32
1000166	2001	33
1000166	2001	34
1000166	2001	35
1000166	2001	36
1000166	2001	37
1000166	2001	38
1000166	2001	39
1000166	2001	50
1000166	2001	51
1000166	2001	308
1000166	2001	54
1000166	2001	55
1000166	2001	57
1000166	2001	394
1000166	2001	565
1000166	2001	331
1000166	2001	87
1000166	2001	355
1000166	2001	356
1000166	2001	357
1000166	2001	873
1000166	2001	364
1000166	2001	366
1000166	2001	371
1000166	2001	631
1000166	2001	382
1000166	2001	384
1000166	2001	153
1000166	2001	367
1000166	2001	284
1000166	2001	208
1000166	2001	736
1000166	2001	495
1000166	2001	504
1000166	2001	506
1000166	2001	23
1000166	2001	25
1000166	2001	26
1000166	2001	30
1000166	2001	32
1000166	2001	33
1000166	2001	34
1000166	2001	35
1000166	2001	36
1000166	2001	37
1000166	2001	38
1000166	2001	39
1000166	2001	50
1000166	2001	51
1000166	2001	308
1000166	2001	54
1000166	2001	55
1000166	2001	57
1000166	2001	394
1000166	2001	565
1000166	2001	331
1000166	2001	87
1000166	2001	355
1000166	2001	356
1000166	2001	357
1000166	2001	873
1000166	2001	364
1000166	2001	366
1000166	2001	371
1000166	2001	631
1000166	2001	382
1000166	2001	384
1000166	2001	153
1000166	2001	367
1000166	2001	284
1000166	2001	208
1000166	2001	736
1000166	2001	495
1000166	2001	504
1000166	2001	506
1000179	2001	15
1000179	2001	533
1000179	2001	25
1000179	2001	27
1000179	2001	32
1000179	2001	34
1000179	2001	35
1000179	2001	36
1000179	2001	37
1000179	2001	38
1000179	2001	39
1000179	2001	42
1000179	2001	48
1000179	2001	50
1000179	2001	51
1000179	2001	308
1000179	2001	53
1000179	2001	54
1000179	2001	55
1000179	2001	56
1000179	2001	57
1000179	2001	59
1000179	2001	394
1000179	2001	62
1000179	2001	565
1000179	2001	64
1000179	2001	481
1000179	2001	73
1000179	2001	80
1000179	2001	594
1000179	2001	87
1000179	2001	355
1000179	2001	356
1000179	2001	357
1000179	2001	873
1000179	2001	874
1000179	2001	364
1000179	2001	621
1000179	2001	366
1000179	2001	61
1000179	2001	371
1000179	2001	631
1000179	2001	633
1000179	2001	382
1000179	2001	641
1000179	2001	153
1000179	2001	367
1000179	2001	421
1000179	2001	736
1000179	2001	737
1000179	2001	738
1000179	2001	483
1000179	2001	495
1000179	2001	504
1000179	2001	506
1000180	2001	10
1000180	2001	15
1000180	2001	533
1000180	2001	23
1000180	2001	27
1000180	2001	28
1000180	2001	799
1000180	2001	32
1000180	2001	33
1000180	2001	34
1000180	2001	35
1000180	2001	36
1000180	2001	37
1000180	2001	38
1000180	2001	39
1000180	2001	42
1000180	2001	44
1000180	2001	48
1000180	2001	51
1000180	2001	308
1000180	2001	53
1000180	2001	55
1000180	2001	56
1000180	2001	62
1000180	2001	565
1000180	2001	481
1000180	2001	73
1000180	2001	331
1000180	2001	79
1000180	2001	80
1000180	2001	594
1000180	2001	87
1000180	2001	355
1000180	2001	357
1000180	2001	364
1000180	2001	621
1000180	2001	366
1000180	2001	61
1000180	2001	371
1000180	2001	382
1000180	2001	384
1000180	2001	641
1000180	2001	153
1000180	2001	367
1000180	2001	283
1000180	2001	421
1000180	2001	679
1000180	2001	737
1000180	2001	738
1000180	2001	483
1000180	2001	495
1000180	2001	504
1000180	2001	506
1000181	2001	10
1000181	2001	13
1000181	2001	15
1000181	2001	533
1000181	2001	23
1000181	2001	25
1000181	2001	799
1000181	2001	32
1000181	2001	34
1000181	2001	42
1000181	2001	44
1000181	2001	45
1000181	2001	48
1000181	2001	49
1000181	2001	51
1000181	2001	53
1000181	2001	54
1000181	2001	58
1000181	2001	59
1000181	2001	60
1000181	2001	394
1000181	2001	62
1000181	2001	64
1000181	2001	65
1000181	2001	67
1000181	2001	581
1000181	2001	481
1000181	2001	80
1000181	2001	594
1000181	2001	602
1000181	2001	603
1000181	2001	874
1000181	2001	621
1000181	2001	61
1000181	2001	371
1000181	2001	631
1000181	2001	633
1000181	2001	63
1000181	2001	641
1000181	2001	131
1000181	2001	138
1000181	2001	153
1000181	2001	421
1000181	2001	679
1000181	2001	284
1000181	2001	451
1000181	2001	736
1000181	2001	483
1000181	2001	495
1000181	2001	504
1000181	2001	506
1000209	2001	10
1000209	2001	13
1000209	2001	15
1000209	2001	533
1000209	2001	23
1000209	2001	799
1000209	2001	32
1000209	2001	34
1000209	2001	42
1000209	2001	44
1000209	2001	48
1000209	2001	49
1000209	2001	51
1000209	2001	53
1000209	2001	55
1000209	2001	59
1000209	2001	60
1000209	2001	62
1000209	2001	64
1000209	2001	67
1000209	2001	481
1000209	2001	331
1000209	2001	79
1000209	2001	80
1000209	2001	594
1000209	2001	87
1000209	2001	602
1000209	2001	603
1000209	2001	355
1000209	2001	364
1000209	2001	621
1000209	2001	61
1000209	2001	371
1000209	2001	631
1000209	2001	633
1000209	2001	63
1000209	2001	641
1000209	2001	131
1000209	2001	153
1000209	2001	421
1000209	2001	679
1000209	2001	737
1000209	2001	483
1000209	2001	495
1000209	2001	506
1000227	2001	23
1000227	2001	25
1000227	2001	26
1000227	2001	30
1000227	2001	32
1000227	2001	33
1000227	2001	34
1000227	2001	35
1000227	2001	36
1000227	2001	37
1000227	2001	38
1000227	2001	39
1000227	2001	50
1000227	2001	51
1000227	2001	308
1000227	2001	54
1000227	2001	55
1000227	2001	57
1000227	2001	394
1000227	2001	331
1000227	2001	87
1000227	2001	355
1000227	2001	356
1000227	2001	357
1000227	2001	873
1000227	2001	364
1000227	2001	366
1000227	2001	371
1000227	2001	631
1000227	2001	382
1000227	2001	153
1000227	2001	367
1000227	2001	284
1000227	2001	208
1000227	2001	736
1000227	2001	737
1000227	2001	495
1000227	2001	504
1000227	2001	506
1000228	2001	533
1000228	2001	23
1000228	2001	25
1000228	2001	26
1000228	2001	541
1000228	2001	30
1000228	2001	32
1000228	2001	34
1000228	2001	35
1000228	2001	36
1000228	2001	37
1000228	2001	38
1000228	2001	39
1000228	2001	42
1000228	2001	50
1000228	2001	51
1000228	2001	308
1000228	2001	53
1000228	2001	54
1000228	2001	55
1000228	2001	56
1000228	2001	57
1000228	2001	59
1000228	2001	394
1000228	2001	62
1000228	2001	565
1000228	2001	64
1000228	2001	481
1000228	2001	73
1000228	2001	331
1000228	2001	80
1000228	2001	594
1000228	2001	87
1000228	2001	355
1000228	2001	356
1000228	2001	357
1000228	2001	873
1000228	2001	874
