C, Accuracy, std_dev, TN, FP, FN, TP
284,0.625,0.25,5,15,0,20
364,0.6,0.244948974278,2,17,0,19
533,0.75,0.4472135955,0,18,0,18
495,0.5,0.0,0,15,0,15
874,0.775,0.471699056603,9,9,3,15
44,0.8,0.435889894354,0,16,0,16
64,0.741666666667,0.328718048722,1,22,0,23
138,0.9,0.331662479036,8,11,0,19
483,0.691666666667,0.341971408811,2,20,0,22
641,0.633333333333,0.226077666104,3,20,0,23
10,0.875,0.403112887415,6,13,2,17
492,0.916666666667,0.307318148576,10,14,0,24
565,0.625,0.214087209644,1,23,0,24
631,0.55,0.2,0,23,0,23
153,0.5,0.0,0,21,0,21
873,0.658333333333,0.417997873466,8,17,1,24
32,0.566666666667,0.208166599947,0,26,1,25
57,0.5,0.0,0,25,0,25
504,0.566666666667,0.208166599947,2,23,0,25
506,0.5,0.0,0,25,0,25
15,0.725,0.279384243571,5,18,0,23
55,0.575,0.240947204913,2,24,0,26
208,0.775,0.279384243571,6,16,1,21
394,0.6,0.208166599947,3,24,0,27
736,0.516666666667,0.1,3,24,0,27
26,0.708333333333,0.25,1,27,0,28
451,0.816666666667,0.266666666667,7,18,0,25
594,0.658333333333,0.283333333333,3,25,0,28
621,0.758333333333,0.368555739792,8,18,0,26
54,0.566666666667,0.221108319357,0,31,0,31
541,0.725,0.15,7,24,0,31
45,0.641666666667,0.197905701451,0,27,0,27
356,0.625,0.170782512766,6,25,0,31
65,0.883333333333,0.260341655864,23,8,1,30
371,0.533333333333,0.133333333333,0,34,0,34
53,0.75,0.232737334063,9,24,0,33
25,0.516666666667,0.244948974278,2,36,2,36
738,0.866666666667,0.297676184992,23,14,2,35
61,0.741666666667,0.238047614285,8,24,0,32
481,0.641666666667,0.175594229214,8,30,0,38
331,0.7,0.374165738677,10,29,0,39
27,0.879166666667,0.225,22,13,1,34
308,0.5825,0.109658560997,5,37,0,42
23,0.63,0.171464281995,10,36,0,46
355,0.715,0.252190404258,19,28,1,46
421,0.625,0.18973665961,4,39,0,43
62,0.8125,0.167705098312,20,20,0,40
799,0.8775,0.19551214796,38,11,0,49
42,0.71,0.218174242293,16,29,1,44
30,0.73,0.237486841741,22,28,1,49
51,0.5475,0.117153745139,2,42,0,44
39,0.65,0.256904651573,16,34,1,49
79,0.921666666667,0.18199511593,51,6,2,55
633,0.773333333333,0.124899959968,21,32,0,53
56,0.815,0.183454505411,34,22,0,56
34,0.626666666667,0.213020604116,16,43,0,59
80,0.796666666667,0.259401019445,31,27,0,58
33,0.7,0.2,21,39,0,60
37,0.645238095238,0.189820299314,10,52,0,62
87,0.769047619048,0.282561975222,43,23,3,63
59,0.761607142857,0.189327825504,36,36,0,72
48,0.861607142857,0.183372947174,50,23,0,73
382,0.803888888889,0.171345438396,58,35,1,92
366,0.727777777778,0.175330375978,35,55,0,90
49,0.805555555556,0.1482927535,48,34,0,82
58,0.811666666667,0.144994678489,58,37,0,95
581,0.826666666667,0.101567954507,63,32,0,95
50,0.661818181818,0.062615183119,34,68,0,102
63,0.851818181818,0.193369427618,73,29,0,102
20,0.896818181818,0.0793621264045,88,18,4,102
131,0.901515151515,0.068433877519,94,23,0,117
357,0.834615384615,0.0789681064757,91,45,0,136
13,0.848626373626,0.128633637622,97,41,0,138
367,0.733958333333,0.096825480175,74,80,0,154
384,0.930833333333,0.0836893754585,175,27,3,199
67,0.91645021645,0.11990169821,190,27,9,208
679,0.897943722944,0.0875864135965,181,36,7,210
603,0.92481884058,0.0897644470524,202,32,0,234
35,0.824358974359,0.119932868672,186,78,6,258
737,0.906766381766,0.0719519885757,222,46,2,266
38,0.91256684492,0.075447409518,285,47,8,324
36,0.826278409091,0.116350517689,219,109,0,328
283,0.967945075758,0.0371956630101,311,17,2,326
73,0.872155049787,0.0715656613147,300,72,16,356
28,0.893263646922,0.0578061276861,379,33,38,374
602,0.957354301573,0.028550944273,431,38,0,469
60,0.965865191147,0.0211223622901,658,46,0,704
