	cik	gvkey	sic_list
	1014920 	63381 	['737']
	1050606 	121817 	['483']
	1018693 	62555 	['824']
	11544 	14822 	['633']
	840824 	15203 	['737']
	888747 	25761 	['232', '679']
	351346 	2230 	['384']
	803027 	13532 	['633']
	5981 	1585 	['287']
	1084573 	122137 	['737']
	48898 	5764 	['364', '335', '366']
	928950 	30915 	['335', '331']
	102198 	11035 	['679']
	1082506 	121257 	['737']
	872589 	23812 	['283']
	1070794 	116857 	['799']
	873364 	23945 	['283']
	1068887 	119753 	['738']
	807144 	15442 	['804', '809']
	1013256 	63918 	['651']
	918965 	29910 	['504']
	918964 	30169 	['371', '348']
	766561 	6995 	['872', '481', '366']
	857353 	63262 	['283', '549']
	32017 	4251 	['295']
	1057379 	111000 	['737']
	1069822 	115873 	['631']
	64670 	7228 	['384']
	849116 	25961 	['609', '679']
	52466 	6171 	['208', '355', '289', '382']
	701869 	17131 	['632', '635']
	69422 	7632 	['651']
	887921 	62290 	['284']
	870228 	24432 	['508', '514', '596']
	737758 	10618 	['352']
	1023519 	63966 	['511']
	313716 	18654 	['354']
	84129 	9155 	['591', '874']
	821002 	19402 	['238']
	64908 	7253 	['602']
	1006240 	62599 	['366', '367']
	820757 	16394 	['581']
	920448 	63099 	['737']
	854460 	18484 	['357']
	1305014 	1794 	['517', '161', '291', '516', '282']
	1237941 	26019 	['371', '336']
	928421 	30710 	['355']
	889992 	62497 	['283']
	719209 	6194 	['131']
	724606 	24113 	['581']
	1001907 	61766 	['376', '873', '871']
	944508 	64102 	['209', '514']
	1006026 	62133 	['737']
	1006027 	62505 	['385', '384']
	71829 	7882 	['495', '509', '735']
	1006028 	63448 	['358']
	936931 	61859 	['738']
	874977 	24233 	['633', '672']
	1222497 	6963 	['491']
	846753 	16739 	['603']
	1007997 	62690 	['737']
	775163 	20982 	['737']
	70487 	65587 	['738']
	891788 	26247 	['357']
	907127 	31518 	['738', '737', '784']
	807884 	13032 	['679', '735', '593']
	89615 	9650 	['367']
	1481582 	5968 	['505']
	704159 	21499 	['621']
	1020359 	66114 	['701']
	1067701 	66065 	['735']
	941138 	10757 	['491', '499']
	946486 	61140 	['283']
	319019 	12044 	['131']
	23055 	3277 	['737']
	887730 	25848 	['367']
	47217 	5606 	['357', '737']
