	cik	gvkey	year	sic_list
	912842 	29152 	1998 	['355']
	1014920 	63381 	1999 	['737']
	1014920 	63381 	1998 	['737']
	1003383 	62581 	1999 	['737']
	861884 	30671 	1999 	['505']
	861884 	30671 	1998 	['505']
	866609 	23810 	1999 	['382']
	866609 	23810 	1998 	['382']
	1023052 	64048 	1999 	['571']
	1023052 	64048 	1998 	['571']
	1018693 	62555 	1999 	['824']
	840824 	15203 	1999 	['737']
	840824 	15203 	1998 	['504']
	842662 	13135 	1999 	['358']
	842662 	13135 	1998 	['358']
	723888 	6297 	1999 	['364']
	723888 	6297 	1998 	['364']
	1000180 	61513 	1999 	['357']
	1000180 	61513 	1998 	['357']
	351346 	2230 	1999 	['384']
	351346 	2230 	1998 	['384']
	893430 	30283 	1999 	['808']
	893430 	30283 	1998 	['808']
	803027 	13532 	1999 	['633']
	803027 	13532 	1998 	['633']
	924140 	61397 	1999 	['565']
	924140 	61397 	1998 	['565']
	5981 	1585 	1999 	['287']
	5981 	1585 	1998 	['287']
	910322 	29246 	1999 	['603']
	910322 	29246 	1998 	['603']
	949587 	61359 	1998 	['367']
	904020 	28622 	1999 	['451']
	904020 	28622 	1998 	['451']
	899866 	62263 	1999 	['283']
	899866 	62263 	1998 	['283']
	928953 	62955 	1999 	['679']
	928953 	62955 	1998 	['679']
	718937 	9969 	1999 	['385']
	718937 	9969 	1998 	['385']
	65270 	7291 	1999 	['367']
	65270 	7291 	1998 	['367']
	807524 	17081 	1999 	['603']
	807524 	17081 	1998 	['603']
	921549 	62870 	1999 	['440']
	921549 	62870 	1998 	['449']
	897893 	63640 	1999 	['737']
	830257 	16674 	1999 	['602']
	830257 	16674 	1998 	['602']
	796369 	12533 	1999 	['581']
	796369 	12533 	1998 	['581']
	873364 	23945 	1999 	['283']
	873364 	23945 	1998 	['283']
	1012131 	62923 	1999 	['384']
	1012131 	62923 	1998 	['384']
	1282637 	4462 	1999 	['286']
	1282637 	4462 	1998 	['286']
	1059131 	19124 	1999 	['603']
	1059131 	19124 	1998 	['603']
	875657 	26045 	1998 	['369']
	909276 	28822 	1999 	['737']
	909276 	28822 	1998 	['737']
	1009480 	63161 	1999 	['473']
	1009480 	63161 	1998 	['473']
	926282 	30576 	1999 	['366']
	926282 	30576 	1998 	['366']
	935037 	30115 	1998 	['602']
	802481 	12785 	1999 	['201']
	802481 	12785 	1998 	['201']
	852426 	15242 	1999 	['308']
	852426 	15242 	1998 	['308']
	878612 	60973 	1999 	['737']
	878612 	60973 	1998 	['737']
	878616 	27748 	1998 	['284']
	1007330 	62494 	1999 	['872']
	1007330 	62494 	1998 	['872']
	933036 	31460 	1999 	['735']
	933036 	31460 	1998 	['735']
	933034 	31567 	1999 	['371']
	933034 	31567 	1998 	['371']
	885508 	25462 	1999 	['655']
	885508 	25462 	1998 	['655']
	857593 	24397 	1999 	['602']
	857593 	24397 	1998 	['602']
	101382 	10916 	1999 	['602']
	101382 	10916 	1998 	['602']
	64670 	7228 	1999 	['384']
	64670 	7228 	1998 	['384']
	1058027 	64663 	1999 	['357']
	69422 	7632 	1999 	['651']
	69422 	7632 	1998 	['651']
	46267 	16959 	1999 	['603']
	46267 	16959 	1998 	['603']
	1002125 	61690 	1999 	['364']
	1002125 	61690 	1998 	['364']
	785186 	12090 	1999 	['495']
	785186 	12090 	1998 	['495']
	874992 	8049 	1999 	['131']
	874992 	8049 	1998 	['131']
	854711 	25322 	1999 	['615']
	854711 	25322 	1998 	['615']
	887921 	62290 	1999 	['284']
	887921 	62290 	1998 	['284']
	880026 	24704 	1999 	['501']
	880026 	24704 	1998 	['501']
	737758 	10618 	1999 	['352']
	737758 	10618 	1998 	['352']
	1005757 	62266 	1999 	['737']
	1005757 	62266 	1998 	['737']
	821483 	22447 	1999 	['131']
	821483 	22447 	1998 	['131']
	95552 	10195 	1999 	['371']
	95552 	10195 	1998 	['371']
	904979 	28518 	1999 	['346']
	904979 	28518 	1998 	['346']
	1006655 	62626 	1998 	['737']
	753048 	12801 	1999 	['738']
	753048 	12801 	1998 	['738']
	1023519 	63966 	1999 	['511']
	1023519 	63966 	1998 	['511']
	313716 	18654 	1999 	['354']
	313716 	18654 	1998 	['354']
	904973 	28563 	1999 	['283']
	904973 	28563 	1998 	['283']
	46709 	5578 	1999 	['356']
	46709 	5578 	1998 	['356']
	46640 	5568 	1999 	['203']
	46640 	5568 	1998 	['203']
	57055 	6315 	1999 	['283']
	57055 	6315 	1998 	['283']
	53025 	6217 	1999 	['531']
	53025 	6217 	1998 	['531']
	64908 	7253 	1999 	['602']
	64908 	7253 	1998 	['602']
	726958 	2807 	1999 	['554']
	726958 	2807 	1998 	['554']
	105532 	11351 	1999 	['314']
	105532 	11351 	1998 	['314']
	920052 	62036 	1999 	['809']
	920052 	62036 	1998 	['809']
	932631 	31459 	1999 	['283']
	932631 	31459 	1998 	['283']
	820757 	16394 	1999 	['581']
	820757 	16394 	1998 	['581']
	931457 	31190 	1999 	['371']
	931457 	31190 	1998 	['371']
	1024339 	64173 	1998 	['737']
	9342 	1981 	1999 	['362']
	9342 	1981 	1998 	['362']
	1042051 	65315 	1999 	['641']
	54883 	6362 	1999 	['737']
	54883 	6362 	1998 	['737']
	899755 	28287 	1999 	['541']
	899755 	28287 	1998 	['541']
	357173 	19150 	1999 	['602']
	357173 	19150 	1998 	['602']
	791348 	6797 	1999 	['331']
	791348 	6797 	1998 	['331']
	919794 	61694 	1999 	['737']
	919794 	61694 	1998 	['737']
	899757 	28351 	1999 	['679']
	899757 	28351 	1998 	['679']
	714310 	11861 	1999 	['602']
	714310 	11861 	1998 	['602']
	928421 	30710 	1999 	['355']
	928421 	30710 	1998 	['355']
	889992 	62497 	1999 	['283']
	889992 	62497 	1998 	['283']
	719209 	6194 	1999 	['131']
	719209 	6194 	1998 	['131']
	724606 	24113 	1999 	['581']
	724606 	24113 	1998 	['581']
	899751 	28295 	1999 	['331']
	899751 	28295 	1998 	['331']
	36029 	29101 	1999 	['602']
	36029 	29101 	1998 	['602']
	719597 	5253 	1998 	['357']
	1022911 	64017 	1999 	['386']
	1022911 	64017 	1998 	['386']
	943206 	31880 	1998 	['824']
	894315 	27780 	1999 	['679']
	894315 	27780 	1998 	['679']
	1390777 	2019 	1999 	['602']
	1390777 	2019 	1998 	['602']
	906469 	6347 	1998 	['871']
	884497 	25216 	1999 	['737']
	884497 	25216 	1998 	['737']
	944763 	62395 	1999 	['384']
	1006026 	62133 	1998 	['737']
	935226 	2163 	1999 	['581']
	935226 	2163 	1998 	['581']
	1017829 	64145 	1998 	['737']
	1006028 	63448 	1999 	['358']
	884498 	61427 	1999 	['382']
	884498 	61427 	1998 	['382']
	1393311 	10096 	1999 	['679']
	1393311 	10096 	1998 	['679']
	1098146 	30647 	1999 	['602']
	1098146 	30647 	1998 	['602']
	936931 	61859 	1999 	['738']
	936931 	61859 	1998 	['738']
	749660 	12874 	1999 	['357']
	749660 	12874 	1998 	['357']
	833079 	14790 	1999 	['153']
	833079 	14790 	1998 	['153']
	763532 	6527 	1999 	['364']
	763532 	6527 	1998 	['364']
